age,count,percentage
younger than 25,435450,0.115257871
25-29,292200,0.077341486
30-34,324000,0.085758526
35-39,386500,0.102301452
40-44,393700,0.104207197
45-49,358500,0.094890221
50-54,316000,0.083641032
55-59,292700,0.077473829
60-64,258900,0.068527415
65-69,224200,0.059342783
70-74,190800,0.050502243
75-79,134100,0.035494501
80 or older,171000,0.045261444
