level,count,percentage
1. Grundskola (mindre än 9 år),280369,0.037831875
2. Grundskola (9 år),969922,0.130877408
3. Gymnasiestudier (mindre än 3 år),1408324,0.190033626
4. Gymnasiestudier (3 år),1741169,0.234946403
5. Eftergymnasial utbildning (mindre än 3 år),1082077,0.146011157
6. Eftergymnasial utbildning (3 år eller mer),1639128,0.221177398
7. Forskarutbildning,84215,0.011363636
NA,205716,0.027758497
