age,count,percentage
younger than 25,810921,0.099535159
25-29,739696,0.090792764
30-34,715891,0.087870858
35-39,650598,0.079856577
40-44,631263,0.077483334
45-49,667092,0.081881106
50-54,677755,0.083189918
55-59,620108,0.076114132
60-64,568390,0.069766092
65-69,540048,0.0662873
70-74,560415,0.068787213
75-79,428598,0.052607554
80 or older,536306,0.065827994
