age,count,percentage
younger than 25,1532597,0.108717545
25-29,1138965,0.080794546
30-34,1102103,0.078179673
35-39,1045828,0.074187704
40-44,1022008,0.072497989
45-49,1186068,0.084135883
50-54,1281826,0.09092865
55-59,1250592,0.08871301
60-64,1117798,0.079293027
65-69,996048,0.07065647
70-74,941219,0.066767075
75-79,633200,0.044917189
80 or older,848801,0.060211237
