province,count,percentage
Groningen,585866,0.033655789
Friesland,649957,0.037337574
Drenthe,493682,0.028360166
Overijssel,1162406,0.066775834
Flevoland,423021,0.024300958
Gelderland,2085952,0.119830063
Utrecht,1354834,0.077830095
Noord-Holland,2879527,0.165417949
Zuid-Holland,3708696,0.213050575
Zeeland,383488,0.022029937
Noord-Brabant,2562955,0.147232083
Limburg,1117201,0.064178977
